status,gid,email,date,deadline,progress,rating,count,title,author,publisher,first_edition,ISBN,language,category,publication,comment,_id,arrival_date
FALSE,,,,,,,,丸ごと一冊ハイレゾオーディオ完全ガイド (インプレスムック),"麻倉 怜士  (著), 岩井 喬 (著), 大坪 知樹 (著), 折原 一也 (著), 鳥居 一豊 (著), 野村 ケンジ (著), 藤本 健 (著), & 1 その他",インプレス,2014/02/26,978-4844335542,日本語,その他,ムック,,one_53,2017/8/8
FALSE,,,,,,,,ダイヤモンドハーバードビジネスレビュー 別冊 2016年 01 月号 [雑誌] (IoTの競争優位),,ダイヤモンド社,2015/11/26,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,one_54,2017/8/8
FALSE,,,,,,,,なるほどデザイン〈目で見て楽しむ新しいデザインの本。〉,筒井 美希  (著),エムディエヌコーポレーション,2015/07/31,978-4844365174,日本語,設計・ソフトウェア・DIY,単行本,,one_55,2017/8/8
FALSE,,,,,,,,融けるデザイン ―ハード×ソフト×ネット時代の新たな設計論,渡邊恵太  (著),ビー・エヌ・エヌ新社,2015/01/21,978-4861009389,日本語,設計・ソフトウェア・DIY,単行本,,one_56,2017/8/8
FALSE,,,,,,,,デザインの学校 これからはじめるIllustratorの本 [CS6対応版],"佐々木 京子 著  (著), ロクナナワークショップ 監修 (著)",技術評論社,2012/11/10,978-4774153674,日本語,設計・ソフトウェア・DIY,大型本,,one_57,2017/8/8
FALSE,,,,,,,,ワークスタイルブック (NEKO MOOK),,ネコ・パブリッシング,2016/07/29,978-4777019755,日本語,アイデェア・イノベーション・ビジネスモデル,ムック,,one_58,2017/8/8
FALSE,,,,,,,,WIRED VOL.24/特集 NEW CITY 新しい都市,"Conde Nast Japan (コンデナスト・ジャパン)  (著), WIRED編集部 (編集)",コンデナスト・ジャパン,2016/08/09,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,one_59,2017/8/8
FALSE,,,,,,,,WIRED（ワイアード）VOL.15 WXD ワイアード・バイ・デザイン　デザインをめぐる25の物語,"Conde Nast Japan (コンデナスト・ジャパン)  (著), WIRED編集部 (編集)",コンデナスト・ジャパン,2015/04/01,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,one_60,2017/8/8
FALSE,,,,,,,,WIRED VOL.13 (GQ JAPAN.2014年10月号増刊),"Conde Nast Japan (コンデナスト・ジャパン)  (著), WIRED編集部 (編集)",コンデナスト・ジャパン,2014/10/01,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,one_61,2017/8/8
FALSE,,,,,,,,WIRED VOL.11 (GQ JAPAN.2014年4月号増刊)],"Conde Nast Japan (コンデナスト・ジャパン)  (著), WIRED編集部 (編集)",コンデナスト・ジャパン,2014/04/01,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,one_62,2017/8/8
FALSE,,,,,,,,WIRED（ワイアード）VOL.14 [雑誌],"Conde Nast Japan (コンデナスト・ジャパン)  (著), WIRED編集部 (編集)",コンデナスト・ジャパン,2015/01/01,,日本語,アイデェア・イノベーション・ビジネスモデル,雑誌,,one_63,2017/8/8
FALSE,,,,,,,,Arduinoでロボット工作をたのしもう!,鈴木 美朗志 (著),秀和システム,2014/10/03,978-4798041827,日本語,設計・ソフトウェア・DIY,単行本,,one_64,2017/8/8
FALSE,,,,,,,,HAPTIC ―五感の覚醒,"株式会社竹尾 (著), 原研哉＋日本デザインセンター原デザイン研究所 (著)",朝日新聞社,2004/09/30,978-4022579317,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,one_65,2017/8/8
FALSE,,,,,,,,"1000 Lights, Volume II: 1960 - Present","Charlotte Fiell  (著), Peter Fiell  (著)",Taschen America Llc,2005/05/11,978-3822824757,ENGLISH,アイデェア・イノベーション・ビジネスモデル,カタログ,禁持出,one_66,2017/8/8
FALSE,,,,,,,,Top Space & Art: Spatial and Graphic Design for Event and Exhibition,Ltd ArtPower International Publish Co. (Corporate Author),Azur Corporation,2010/11/16,978-9881768469,ENGLISH,アイデェア・イノベーション・ビジネスモデル,カタログ,禁持出,one_67,2017/8/8
FALSE,,,,,,,,Raspberry Piで学ぶ ROSロボット入門,上田 隆一  (著),日経BP社,2017/04/03,978-4822239299,日本語,設計・ソフトウェア・DIY,単行本,,one_68,2017/8/8
FALSE,,,,,,,,『takram design engineering|デザイン・イノベーションの振り子』 (現代建築家コンセプト・シリーズ18),takram design engineering(タクラム デザイン エンジニアリング) (著),LIXIL出版,2014/09/15,978-4864800129,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,one_69,2017/8/8
FALSE,,,,,,,,メイカーズのエコシステム 新しいモノづくりがとまらない。,高須 正和  (著),ンプレスR&D,2016/04/22,978-4844397236,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,one_70,2017/8/8
FALSE,,,,,,,,問題解決に効く「行為のデザイン」思考法,村田 智明 (著),CCCメディアハウス,2015/09/28,978-4484152219,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,one_71,2017/8/8
FALSE,,,,,,,,LIFE PACKING2.1―未来を生きるためのモノと知恵,高城剛  (著),パブラボ,2016/08/19,978-4434222207,日本語,その他,単行本,,one_72,2017/8/8
FALSE,,,,,,,,ユーザーストーリーマッピング,"Jeff Patton (著), 川口 恭伸 (監修), 長尾 高弘  (翻訳)",オライリージャパン,2015/07/24,978-4873117324,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,one_73,2017/8/8
FALSE,,,,,,,,子どものUXデザイン ―遊びと学びのデジタルエクスペリエンス,"デブラ・レヴィン・ゲルマン (著), 依田光江 (翻訳)",ビー・エヌ・エヌ新社,2015/11/25,978-4802510042,日本語,UX・インターフェイス,単行本,,one_74,2017/8/8
FALSE,,,,,,,,インクルーシブデザイン: 社会の課題を解決する参加型デザイン,"ジュリア カセム (著, 編集), 平井 康之 (著, 編集), 塩瀬 隆之 (著, 編集), 森下 静香 (著, 編集), 水野 大二郎 (著), & 9 その他",学芸出版社,2014/04/01,978-4761525699,日本語,UX・インターフェイス,単行本,,one_75,2017/8/8
FALSE,,,,,,,,ユーザビリティエンジニアリング(第2版)―ユーザエクスペリエンスのための調査、設計、評価手法,樽本 徹也  (著),オーム社,2014/02/26,978-4274214837,日本語,UX・インターフェイス,単行本,,one_76,2017/8/8
FALSE,,,,,,,,SF映画で学ぶインタフェースデザイン アイデアと想像力を鍛え上げるための141のレッスン,"Nathan Shedroff (著), Christopher Noessel (著), 安藤 幸央  (監修, 翻訳), 赤羽 太郎  (翻訳), 飯塚 重善 (翻訳), & 1 その他",丸善出版,2014/07/30,978-4621088364,日本語,UX・インターフェイス,単行本,,one_77,2017/8/8
FALSE,,,,,,,,デザイニング・マルチデバイス・エクスペリエンス ―デバイスの枠を超えるUXデザインの探求,"Michal Levin (著), 青木 博信 (翻訳), 大木 嘉人 (翻訳), 笠原 俊一 (翻訳), 瀬戸山 雅人  (翻訳), 矢野 類子 (翻訳)",オライリージャパン,2014/12/22,978-4873117089,日本語,UX・インターフェイス,単行本,,one_78,2017/8/8
FALSE,,,,,,,,ウェアハウススタイル (エイムック 3075),エイ出版社編集部 (編集),エイ出版社,2015/04/13,978-4777935512,日本語,その他,ムック,,one_79,2017/8/8
FALSE,,,,,,,,人間中心設計 2016 第12巻 第2号,,特定非営利活動法人 人間中心設計推進機構,2016/11/28,,日本語,UX・インターフェイス,その他,禁持出,one_80,2017/8/8
FALSE,,,,,,,,人間中心設計 2017 第13巻 第1号,,特定非営利活動法人 人間中心設計推進機構,2017/05/31,,日本語,UX・インターフェイス,その他,禁持出,one_81,2017/8/8
FALSE,,,,,,,,メンタルモデル ユーザーへの共感から生まれるUXデザイン戦略,"田村 大 (監修, 翻訳), 酒井 洋平 (翻訳), 澤村 正樹  (翻訳), 重村 将之 (翻訳), 羽山 祥樹  (翻訳), 吉岡 典子 (翻訳)",丸善出版,2014/01/30,978-4621088067,日本語,UX・インターフェイス,単行本,,one_82,2017/8/8
FALSE,,,,,,,,プロトタイピング実践ガイド スマホアプリの効率的なデザイン手法,"深津 貴之 (著), 荻野 博章  (著), 丸山 弘詩  (編集)",インプレス,2014/07/11,978-4844336242,日本語,UX・インターフェイス,単行本,,one_83,2017/8/8
FALSE,,,,,,,,デザイン人間工学 ―魅力ある製品・UX・サービス構築のために,山岡 俊樹 (著),共立出版,2014/03/25,978-4320071926,日本語,UX・インターフェイス,単行本,,one_84,2017/8/8
FALSE,,,,,,,,深海8000mに挑んだ町工場 無人探査機「江戸っ子1号」プロジェクト,山岡 淳一郎  (著),かんき出版,2014/09/01,978-4761270285,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,one_85,2017/8/8
FALSE,,,,,,,,コミュニケーションのデザイン史 人類の根源から未来を学ぶ,"高橋裕行 (著), 江渡浩一郎 (その他)",フィルムアート社,2015/09/30,978-4845915583,日本語,UX・インターフェイス,単行本,,one_86,2017/8/8
FALSE,,,,,,,,消極性デザイン宣言 ―消極的な人よ、声を上げよ。……いや、上げなくてよい。,"栗原一貴  (著), 西田健志 (著), 濱崎雅弘 (著), 簗瀬洋平  (著), 渡邊恵太  (著), 小野ほりでい (イラスト)",ビー・エヌ・エヌ新社,2016/10/24,978-4802510301,日本語,UX・インターフェイス,単行本,,one_87,2017/8/8
FALSE,,,,,,,,続・インタフェースデザインの心理学 ─ウェブやアプリに新たな視点をもたらす+100の指針,"Susan Weinschenk (著), 武舎 広幸 (翻訳), 武舎 るみ (翻訳), 阿部 和也 (翻訳)",オライリージャパン,2016/08/04,978-4873117713,日本語,UX・インターフェイス,単行本,,one_88,2017/8/8
FALSE,,,,,,,,インタフェースデザインの実践教室 ―優れたユーザビリティを実現するアイデアとテクニック,"Lukas Mathis (著), 武舎 広幸  (翻訳), 武舎 るみ (翻訳)",オライリージャパン,2013/04/18,978-4873116082,日本語,UX・インターフェイス,単行本,,one_89,2017/8/8
