title,author,publisher,first_edition,ISBN,language,category,publication,comment,on_loan
Rhinocerosで極める3Dデジタルデザイン,中島淳雄,ラトルズ,2013/10/25,978-4899773900,日本語,設計・ソフトウェア・DIY,単行本,,0
Fusion 360 モデリング・マスター,礒 信一,ソーテック社,2016/7/22,978-4800711410,日本語,設計・ソフトウェア・DIY,単行本,,0
Fusion 360操作ガイド ベーシック編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/2/26,978-4877833831,日本語,設計・ソフトウェア・DIY,単行本,,0
Fusion 360操作ガイド アドバンス編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/3/1,978-4877833954,日本語,設計・ソフトウェア・DIY,単行本,,0
Fusion 360操作ガイド スーパーアドバンス編―次世代クラウドベース3DCAD,三谷 大暁,カットシステム,2016/11/1,978-4877833909,日本語,設計・ソフトウェア・DIY,単行本,,0
Fusion 360 Masters,オートデスク株式会社,ソーテック社,2017/4/27,978-4800711632,日本語,設計・ソフトウェア・DIY,単行本,,0
3Dプリンタ用CADソフト Autodesk Meshmixer入門編[日本語版] (TOOL活用シリーズ),岩永 翔伍,CQ出版,2016/1/15,978-4789849524,日本語,アイデェア・イノベーション・ビジネスモデル,ムック,,0
脱! 2次元 面白いほどかんたんにできる! 3Dプリンター,FABLAB渋谷,エクスナレッジ,2014/4/30,978-4767817552,日本語,設計・ソフトウェア・DIY,ムック,,0
We Work HERE 東京の新しい働き方100,ミライインスティチュート,ミライインスティチュート出版,2016/8/8,978-4908774683,日本語,NEW!,単行本,,0
感性商品学―感性工学の基礎と応用,長町 三生,海文堂出版,1993/09,978-4303728205,日本語,NEW!,単行本,,0
Graphic Recorder ―議論を可視化するグラフィックレコーディングの教科書,清水 淳子,ビー・エヌ・エヌ新社,2017/1/27,978-4802510288,日本語,NEW!,単行本,,0
デザインの教室 手を動かして学ぶデザイントレーニング,佐藤 好彦,エムディエヌコーポレーション,2008/4/28,978-4844359791,日本語,NEW!,大型本,メディアあり（CD-ROM）,0
ELLE DECOR (エル・デコ) 2017年 02月号,ハースト婦人画報社,ハースト婦人画報社,2017/1/7,,日本語,NEW!,雑誌,,0
デザインスプリント ―プロダクトを成功に導く短期集中実践ガイド,Richard Banfield (著)、 C. Todd Lombardo (著)、 Trace Wax (著)、 安藤 幸央  (監修)、 佐藤 伸哉  (監修)、 & 1 その他,オライリージャパン,2016/11/26,978-4873117805,日本語,NEW!,単行本,,0
MAKERS 21世紀の産業革命が始まる,クリス・アンダーソン  (著)、 関美和 (翻訳),NHK出版,2012/1023,978-4140815762,日本語,NEW!,単行本,,0
MAKE SPACE メイク・スペース スタンフォード大学dスクールが実践する創造性を最大化する「場」のつくり方,スコット・ドーリー (著)、 スコット・ウィットフト (著)、 イトーキ オフィス総合研究所 (監修)、 藤原朝子 (翻訳),CCCメディアハウス,2012/11/15,978-4484121260,日本語,NEW!,単行本,"計2冊
（内1冊はMK企画部金子さん所有？）",0
コンピューター&テクノロジー解体新書,ロン・ホワイト (著)、 Ron White (著)、 トップスタジオ (翻訳),SBクリエイティブ,2015/9/19,978-4797384291,日本語,NEW!,単行本,,0
新建築2016年10月号 オフィス特集,株式会社新建築社,株式会社新建築社,2016/10/1,,日本語,NEW!,雑誌,,0
シェア空間の設計手法,猪熊 純 (編集)、 成瀬 友梨 (編集)、 成瀬・猪熊建築設計事務所 (編集)、 山道 拓人 (編集)、 千葉 元生 (編集)、 & 7 その他,学芸出版社,2016/12/24,978-4761526313,日本語,NEW!,単行本,,0
ワークスタイル変革最前線,日経情報ストラテジー (編集),日経BP社,2015/6/29,978-4822230494,日本語,NEW!,単行本,,0
WIRED(ワイアード)VOL.28/特集「Making Things ものづくりの未来」,Conde Nast Japan (コンデナスト・ジャパン)  (著)、 WIRED編集部 (編集),コンデナスト・ジャパン,2017/6/8,,日本語,NEW!,雑誌,,0
心理学初歩 (放送大学教材),辻 敬一郎 (編集)、 星 薫 (編集),放送大学教育振興会,2002/3,978-4595113567,日本語,NEW!,単行本,,0
生産性―――マッキンゼーが組織と人材に求め続けるもの,伊賀 泰代  (著),ダイヤモンド社,2016/11/26,978-4478101575,日本語,NEW!,単行本,,0
職場の問題地図 ~「で、どこから変える?」残業だらけ・休めない働き方,沢渡 あまね  (著)、 白井匠 (イラスト),技術評論社,2016/9/16,978-4774183688,日本語,NEW!,単行本,,0
事業戦略策定ガイドブックー理論と事例で学ぶ戦略策定の技術ー,坂本 雅明 (著),同文舘出版,2016/7/1,978-4495386719,日本語,NEW!,単行本,,0
作ることで学ぶ ―Makerを育てる新しい教育のメソッド (Make:Japan Books),Sylvia Libow Martinez  (著)、 Gary Stager (著)、 阿部 和広  (監修)、 酒匂 寛 (翻訳),オライリージャパン,2015/3/25,978-4873117201,日本語,NEW!,単行本,,0
UXの時代――IoTとシェアリングは産業をどう変えるのか,松島聡 (著),英治出版,2016/12/6,978-4862762450,日本語,UX・インターフェイス,単行本,,0
伝わる イラスト思考 (アスカビジネス),松田 純 (著),明日香出版社,2017/1/18,978-4756918758,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,0
Javaクイックリファレンス 第4版,David Flanagan (著)、 イデアコラボレーションズ株式会社 (翻訳),オライリー・ジャパン,1996/8/8,978-4873111193,日本語,設計・ソフトウェア・DIY,単行本,,0
RPCプログラミング,ジョン ブルーマー (著),アスキー,1995/2/11,978-4756103031,日本語,設計・ソフトウェア・DIY,単行本,,0
